,logS,SMILES
1672,-7.7040784145,CCCCCCCCCCCCCCCC(=O)NCCCCCCCC\C=C/CCCCCCCC
4966,-1.2837,NC(=O)C=Cc1ccccc1[N+]([O-])=O
9837,-2.696,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3
3888,-3.8294,OC(=O)CCCOc1cc(Cl)c(Cl)cc1Cl
854,-3.2602593536,[K+].CCCCCCCCCCCCCCCCO[P](O)([O-])=O
2466,-1.4052404634,OCCOCCO.O=C1OC(=O)c2ccccc12
1249,-6.0004819491,Cc1ccc2oc(\C=C\c3oc4ccc(C)cc4n3)nc2c1
6173,-4.3251,Clc1cc(Cl)c(cc1OCC#C)N2N=C3CCCCN3C2=O
2783,-2.050971343,CC(=O)\C=C\c1ccccc1
3677,0.0018,S=[P](N1CC1)(N2CC2)N3CC3
8774,-1.8,O=N(=O)c(cccc1)c1
9662,-2.35,C1CCC(C(C1)O[N+](=O)O)O[N+](=O)O
514,-3.9583461947,O=C1CCCCCN1C(=O)c2cccc(c2)C(=O)N3CCCCCC3=O
6745,-2.0866,C=CCC=C
9349,-3.02,COC1=CC=C(S(=O)(=O)C2=COC(S(N)(=O)=O)=C2)C=C1
9256,-1.63,CCCCNC(=O)NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O
2001,0.6610693015,[K+].[O-]C(=O)C(F)(F)F
8955,-3.73,C1=CC2=C(C=C1)C1=C(C=NC=C1)N2
318,-4.6234419541000005,Cc1ccccc1NC(=O)c2cc3ccccc3cc2O
1443,-4.281954413,[O-][N+](=O)c1ccc(N=Nc2ccc(cc2)N(CCC#N)CCC#N)c(Cl)c1
4289,-5.2795,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CCC2=O
6152,-3.5903,CCCC(Cn1cncn1)c2ccc(Cl)cc2Cl
5705,-1.9079,CCCC(O)CC(C)C
2076,0.6286564425,[K+].O[P](O)(O)=O
2114,0.7770765429000001,O=C1OC=CO1
6725,-1.6853,CC(=O)OCc1ccccc1
1229,-5.8485879471,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N
1656,-7.2331050936,CCN(CC)c1ccc(N=Nc2c(cc(C)cc2C#N)C#N)c(N[S](C)(=O)=O)c1
9565,-5.41,CNC1CN(C2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)C1
6042,-7.4346,Clc1ccccc1c2c(Cl)cc(Cl)c(Cl)c2Cl
3685,-2.4259,CC1=CC(=O)NC(=S)N1
7523,-2.72,CCC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(=NO1)C
754,-3.9853522661,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
3915,0.9276,CCOC(=O)C(C)O
6898,-3.0005,CC(C)OC(=O)Nc1ccccc1
5656,-4.3945,CC(C)CC(=O)Oc1ccc(cc1)[N+]([O-])=O
4546,-3.816,CCCC\C=C\C
1997,-1.2196294277,OC(=O)\C=C\C(O)=O
968,-1.7878458675,CC(C)(C)S
9224,-2.54,NC1=CC2=C(S(=O)(=O)O)C=CC=C2C=C1
2584,-0.864495868,CC1CCCCC1O
8332,-3.11,CC(C)CN1C=CC(=NC1=O)N[S](=O)(=O)C2=CC=C(N)C=C2
1980,0.7853597575,NC(=O)[C@@H]1CCC[NH2+]1
8079,-3.04,CCC1=NC2=C(N=C(N)N=C2)N=C1CC
2820,-2.3865009,[Pd++].CC([O-])=O.CC([O-])=O
5762,-2.0584,CNC(=O)N(C)c1sc(nn1)C(F)(F)F
2431,-1.0114935501,Clc1ccc(Br)cc1Cl
2464,-1.3055373023,[Na+].Nc1c(cc(Br)c2C(=O)c3ccccc3C(=O)c12)[S]([O-])(=O)=O
2715,1.3463919758,NC=O
988,-4.2253369782,Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1
9694,-1.95,CC1=C2C(O)C3C(CC(C)C2CC1=O)OC(=O)C3C
3131,0.5846760173,[Na+].[Na+].[O-][Si](=O)O[Si]([O-])=O
8668,-2.419,CCCC(CC)(CC)CO
8564,-3.0460000000000003,OC(=O)CCCCC1SCC2NC(=O)NC12
6209,-5.6042,CCOC(=O)[C@@H](C)Oc1ccc(Oc2oc3cc(Cl)ccc3n2)cc1
2341,-1.6383266335,Cc1cc(O)c(C)c(C)c1O
1053,-1.1448233011,O=C1CCN(N1)c2ccccc2
3599,-8.0701647483,CCCCCCCC\C=C\CCCCCCCC(=O)OCCC(C)C
4113,1.0499,CC(C)(N)CO
2949,-3.1023856768,Cc1ccc(Cl)cc1
3964,-1.4242,CCCCC(=O)CC
5989,-1.4298,CN=C(NCCSCc1nc[nH]c1C)NC#N
1711,0.5397304724,[Cl-].N[C@@H](CCCN=C(N)N)C(O)=O.[H+]
5465,-0.1901,N#N
6406,-1.3713,CN1C(=O)N=Cc2nccnc12
9241,-4.42,CC1=CC=C(C(=O)N(O)C2=CC=C(Cl)C=C2)C=C1
9745,-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
8436,-2.32,N[S](=O)(=O)C1=NN=C(N[S](=O)(=O)C2=C(C=CC=C2)C(O)=O)S1
6883,-1.5630000000000002,N[S](=O)(=O)c1ccccc1
6443,-5.8479,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCCON=C(C)C
5628,-2.4904,CC1OC(CCC1OC2OC(C)C(C(O)C2O)N(C)C)N3C=CC(=NC3=O)NC(=O)c4ccc(NC(=O)C(C)(N)CO)cc4
784,-1.8117983509,COC(=O)c1ccccc1
4044,0.8723,CCOCCOCCO
5043,-1.2983,OC(=O)C1=C[NH++]([O-])[CH-]C=C1
852,-5.1560946306,CCCCCCC(O)CCCCCCCCCCCO
8782,-0.96,N#CCC=CC
4630,-2.99,CCOC(=O)CCCCCCCC(=O)OCC
3191,-0.3778369537,[Na+].[Na+].[O-][S](=O)(=O)c1cc2ccc(nc2c(c1)[S]([O-])(=O)=O)C3C(=O)c4ccccc4C3=O
9377,-1.39,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCNCC1
9711,-2.38,CC(C)C(NS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1CCOC1O
7945,-7.32,CC1CCC2(OC1)OC3CC4C5CC=C6CC(O)CCC6(C)C5CCC4(C)C3C2C
7780,-2.96,COC1=CC=C2C=C(C=CC2=C1)C(C)C(=O)OCC(=O)N(CCO)CCO
8568,-1.36,ClC=C
6398,-2.6468,CCCCO[P](=O)(OCCCC)OCCCCOCC
8542,-3.2230000000000003,CCCCCCCCCCCCN1CC(CC1=O)C(O)=O
1812,-1.3487765491,[H+].[Cl-].CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc2ccccc2
602,-2.8799222949,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
7375,-0.94,OCC1CCC(O1)[N]2C=NC3=C2N=CNC3=O
8372,-8.57,CCCCCC1=C2C=CC3=C(C=CC=C3)C2=CC4=C1C=CC=C4
7402,-2.35,CC1=NC(=O)C(=C(NCC2=CN=CC=C2)N1)C#N
3064,0.7906283690000001,NC(CO)(CO)CO
6837,-6.8754,Clc1ccc(cc1)c2ccc(Cl)c(Cl)c2Cl
683,-3.1121092438,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23
3102,-0.1144208137,CC(=C)C(=O)OCCO
4153,0.321,NCc1ccc(cc1)[S](N)(=O)=O
9458,-4.33,CCCCCCC(CO[N+](=O)O)O[N+](=O)O
9113,-2.22,CC1=NC(=O)C2=C(N1)C=CC(=C2)[N+](=O)[O-]
9103,-1.56,COC1=CC=C(Cl)C(OC)=C1O
491,-4.4715404278,CC1(C)C2CCC(C2)C1=C
8508,-3.42,CC(C)CC(NC(=O)C(CC1=C[NH]C=N1)NC(=O)C(CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)NC(CC(C)C)C(=O)NCC3=CC=CC=N3
2207,0.4903065627,Cc1ncc(CN)c(N)n1
177,-3.3397616042,COC(OC)C(C)(C)CC=C(C)C
7050,-1.7043,FC(F)(F)C(Cl)Br
2899,-3.1729559438,CCCCC.CCc1ccccc1.Cc2ccccc2.Cc3cccc(C)c3.C4CCCC4
5786,-3.1727,C=CCOC1=N[S](=O)(=O)c2ccccc12
4844,-1.6839,CC(NC(=O)c1ccccc1)C(O)=O
3133,-0.8385771725,[Na+].CC1=NN(C(=O)C1N\N=C\2C=C(C=C(Cl)C2=O)[N+]([O-])=O)c3ccc(cc3)[S]([O-])(=O)=O
6677,-3.5251,OC(=O)c1ccc(Br)cc1
3202,0.5414259625,N.N.N.N.[Pd++].CC([O-])=O.CC([O-])=O
3099,1.4942803838999998,CO
6801,-1.3506,CCCC[N+]([O-])=O
940,-4.365622838,CCCS[P](=O)(OCC)Oc1ccc(Br)cc1Cl
6579,-7.733,C1c2ccccc2c3cc4ccccc4cc13
7893,-4.26,CCOC1=CC=C(C=C1)N=C=S
1438,-3.2704062978,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C
9926,-0.71,CNC(=O)ON=CC(C)(C)SC
7798,-3.31,CO\N=C(C)/C1=CC=CC(=C1C(=O)OC)OC2=NC(=CC(=N2)OC)OC
9143,-1.97,NC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
351,-3.7003596507,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2O
5749,-3.1766,O=C1N=CNc2nc(c3ccccc3)c(nc12)c4ccccc4
3761,-1.9113,BrC(Br)Br
5458,1.0084,O[S](O)(=O)=O
8119,-4.32,BrC1=C(C=CC2=CC=CC=C12)N=C=S
8646,-2.63,CCCC(C)Cl
928,-3.187166345,CCCCCC1CC(=O)C=C(C)C1C(=O)OCC
3511,-7.4198053963,Clc1ccc2Nc3cc4C(=O)c5cc(Cl)ccc5Nc4cc3C(=O)c2c1
2216,0.3919616292,[Na+].NC(CCC(O)=O)C([O-])=O
6302,-7.3023,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F
8444,-2.51,CN1N=C(SC1=N[S](=O)(=O)C2=CC=C(Br)C=C2)[S](N)(=O)=O
8050,-0.99,CCCCCOC(=O)C(N)CC1=CC(=C(O)C=C1)O
5174,-0.0058,OC[C@H]1OC2(COC3(CO2)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H]1O
5823,-0.6488,CN(CCO)c1nc2N(C)C(=O)N(C)C(=O)c2n1C
6444,-7.4604,Cn1nc(C)c(\C=N\OCc2ccc(cc2)C(=O)OC(C)(C)C)c1Oc3ccccc3
8178,-4.44,CC(=O)OC1=CC=C(NC(=O)NC2=CC=CC=C2)C=C1
9374,-2.42,NC1=C2C=C(Cl)C=CC2=NC2=C1C=CC=C2
6572,-5.0981,s1c2ccccc2c3ccccc13
1365,-4.3415022783,C1CCC(CC1)c2ccccc2
3950,0.5564,Cc1ccc(cc1)[S](O)(=O)=O
805,-3.9301744515,COC1CC(C)CCC1C(C)C
3203,0.9289333763,CC(CO)(CO)C=O
4710,-1.7696,CCc1cc(C)cc(O)c1
2272,0.4168921924,[Na+].CN(C)C([S-])=S
6565,-4.1524,C1CCCCCCC1
3220,0.7490240663,COCCOCCOCCOC
1925,-0.5343422948,COc1ccc([NH2+]CCO)cc1[NH3+].[O-][S]([O-])(=O)=O
8650,-3.2030000000000003,Clc1ccccc1Br
7457,-8.55,ClC1=CC(=C(C=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl)Cl
9099,-0.6,NNC(=O)C1=CC2=C(C=C1)OCO2
3467,-8.4587601408,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C
4028,-2.1675,ClC/C=C/CCl
6127,-4.083,OC(c1ccc(F)cc1)(c2cncnc2)c3ccccc3Cl
7577,-4.5,CN1C(=C(O)C2=C(C=CC=C2)[S]1(=O)=O)C(=O)NC3=CC=CC=N3
5391,-4.5452,Oc1c(cccc1[N+]([O-])=O)C(=O)Nc2ccc(Cl)cc2
129,-7.6382805905,CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12
9345,-2.02,O=C(O)C(NCCCCCNC(C(=O)O)C1=CC=CC=C1)C1=CC=CC=C1
8106,-1.87,COC1=C(OC2OC(CO)C(O)C(O)C2O)C=CC(=C1)\C=C\CO
660,-1.7306186153,Cc1ccc2cccc(O)c2n1
2379,0.9300687552,[Cs+].[Cs+].[O-]C([O-])=O
4400,0.4369,CCCCC(C(O)=O)C(O)=O
8676,-0.976,OC(=O)c1cccc(Cl)c1C(O)=O
5511,-2.5094,CCCS[P](=O)(OCC)SCCC
4414,-0.1176,COC1CC1
5205,-0.4985,NNC(=O)C(O)C(O)C(O)C(O)CO
8487,-3.98,CC(C)(C)NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(CC2=CC=CC=C2)NC(=O)C3=CC=C(C=C3)[N+]([O-])=O
2583,-0.8986939452,CC(=O)OC(C=C)C#N
3627,-7.5165300857,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
1795,-2.5669690772,[Na+].[Na+].Cc1ccc(cc1)[S](=O)(=O)Nc2cc(cc3C=C(C(=N/Nc4ccc(Oc5ccccc5C)cc4Oc6ccccc6C)\C(=O)c23)[S]([O-])(=O)=O)[S]([O-])(=O)=O
7347,-6.01,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12
3046,-6.3076085303,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-][P]([O-])(=O)O[P]([O-])([O-])=O.[O-][P]([O-])(=O)O[P]([O-])([O-])=O.[O-][P]([O-])(=O)O[P]([O-])([O-])=O
7471,-4.52,CCC1=CC=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C1
9960,-3.61,CCn1cc(c(=O)c2ccc(nc12)C)C(=O)O
8307,-4.24,CCOC(=O)C1=CN=C(N[S](=O)(=O)C2=CC=CC=C2)C=C1
1625,-6.8604110817,CC(C)c1cccc(C(C)C)c1N=C=Nc2c(cccc2C(C)C)C(C)C
7604,-2.17,CCC(CC)(C(=O)NC(N)=O)C(=O)OCOC
7376,-2.46,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
1361,-7.1338037886,CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(cc1Cl)C(=O)OCC
3559,-7.992627598799999,CC(C)CCCCCCCCCCCCCCCOC(=O)CC(O)C(=O)OCCCCCCCCCCCCCCCC(C)C
3137,0.754917543,OC(=O)CCS
8227,-2.37,CCCCC(=O)OC[N]1C=NC2=C1C(=O)N(C)C(=O)N2C
6765,-5.1805,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl
2972,-3.7450548094,[OH-].[Cu++].[Cu++].[O-][P]([O-])([O-])=O
3605,-7.3410901182,CC(C)(C)c1ccc(OC(=O)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)c(c1)C(C)(C)C
6524,-2.6223,[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2
354,-3.5585927938,CCC(=O)OC1C=CC2C3CCC(C3)C12
8049,-3.19,ClCC(=O)C1=CC=C(NN=C(C#N)C#N)C=C1
4495,-0.3535,CC(N)C(O)C(O)=O
8550,-5.859,Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12
6048,-0.9802,CCCO[P](=O)(OCC)OCCC
1190,-5.5152815814,CCCCCCCCCCCCCCCCCC(=O)NCCO
8392,-1.22,CC1=CC=C(C=C1)[S](=O)(=O)NC2=NN=C(S2)[S](N)(=O)=O
332,-4.5802538276,COc1ccc(c(O)c1)C(=O)c2ccccc2
8768,1.15,N(CCC1)C1
3865,-3.0902,Oc1ccc(Cl)cc1[N+]([O-])=O
5386,-2.0347,OCc1cc(Cl)ccc1OCC(O)=O
704,-2.3290690398,CC(C)=C
7449,-5.27,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)CCC5=CC=CC=C5
9441,-0.9,COC1=C2OC=CC2=C(CN)C2=C1OC(=O)C=C2
6264,-3.3651,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F
4066,-2.8001,FC(F)=C(F)F
5325,-0.6407,CCOC1CC1
7974,-0.77,CCC(=O)OCN1C(=O)NC=C(F)C1=O
1682,-6.394784279,B#N
1574,-6.2970532498,O=C1OC(=O)c2cccc3cccc1c23
9652,-1.96,O=C(O)CN1C=CC2=C1C=C1N=CN=C(NC3=CC(Br)=CC=C3)C1=C2
7393,-2.3,NC(=O)C1=CC(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N2CC2
6225,-6.7798,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cccc2Cl
3624,-7.5280099033,CNC(=O)/C(C#N)=C/1NC(c2ccccc12)=C3C(=O)NC(=O)NC3=O
4458,-0.2919,COC(=O)C(=O)OC
5940,-0.7190000000000001,CCN1C(=O)N(C)c2ncn(C)c2C1=O
7072,-2.0063,[O-][N+](=O)C(Cl)(Cl)Cl
8408,-5.09,COC1=CC2=C(C=C1OC)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N
4568,-1.6464,CCOC(OCC)C(Cl)(Cl)Cl
8900,-1.85,c1ccccc1OC
1048,-3.5342880969,[Zn++].CC(C)(C)CC(C)(C)CC([O-])=O.CC(C)(C)CC(C)(C)CC([O-])=O
5190,-7.0109,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
9174,-2.31,CCN(CC)C(=O)CN1C=C(Br)C(=O)C(Br)=C1
1397,-5.0665338896,CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC
82,-5.229282852,CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3
9729,-1.54,O=C1NC(=O)C(Cl)=C(CN2CCCC2)N1
5099,-0.0543,CNCCC(O)=O
8218,-6.74,ClC1=CC=C(OC2=C(Cl)C=CC=C2)C(=C1Cl)Cl
3316,-7.6872220822,CCN(CC)C1=C[C@@H]2Oc3cc(N(CC)CC)c(C)cc3C(=C2C=C1C)c4ccccc4C(=O)OC
8980,-4.04,O=C1NC(=S)C2=C(N1)NC(=O)N2
526,-3.6518876662,CCCCCCC#CC(=O)OC
8494,-4.0,N[S](=O)(=O)C1=CC=C(NC2=CC=NC(=N2)NC(=O)N[S](=O)(=O)C3=CC=C(Cl)C=C3)C=C1
8912,-2.69,O=C(Nc(ccc(c1)N(=O)=O)c1)C
5849,-5.5968,CCCN(CCCl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
1244,-5.9171426801,C1CCC(CC1)NSc2sc3ccccc3n2
620,-4.6324209502,CCCCCCCCC(C)C#N
8073,-4.85,S=C=NC1=CC=C(C=C1)C2=CC=CC=C2
1516,-5.392552750599999,[NH4+].[Mn+3].[O-][P]([O-])(=O)O[P]([O-])([O-])=O
7317,-2.98,NC(=O)N/N=C/C1=CC=C(O1)[N+]([O-])=O
1633,-6.867639521599999,CCCCCCCCCCCCCCCCOC(=O)C(CC)CCCC
6203,-6.9069,Clc1ccccc1c2cc(Cl)c(Cl)c(Cl)c2
118,-6.214524895199999,CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2
5061,-6.9515,Nc1ccc(N)c2C(=O)c3c(N)ccc(N)c3C(=O)c12
4841,-1.0004,Oc1ccc(O)c(C=O)c1
4853,-2.2756,CC(C)C(C)C(C)C(O)C#CC(C)C(C)O
3430,-8.1584243143,[Cu]1N2C3=NC4=NC(=Nc5n1c(N=C6N=C(N=C2c7ccccc37)c8ccccc68)c9ccccc59)c%10ccccc4%10
8485,-5.01,CC1=C(OCC(=O)NC(CC2=CC=CC=C2)C(O)C(=O)N3CSC(C)(C)C3C(=O)NC(C)(C)C)C(=CC=C1)C
3144,-0.2552865172,[Na+].[Na+].[Na+].[Na+].Nc1c(N=Nc2ccc(cc2)[S](=O)(=O)CCO[S]([O-])(=O)=O)c(cc3C=C(/C(=N/Nc4ccc(cc4)[S](=O)(=O)CCO[S]([O-])(=O)=O)C(=O)c13)[S]([O-])(=O)=O)[S]([O-])(=O)=O
6938,-3.4826,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
3623,-7.77786597,O=C1c2ccccc2C(=O)c3c(Nc4nc(Nc5cccc6C(=O)c7ccccc7C(=O)c56)nc(n4)c8ccccc8)cccc13
1626,-7.116029628200001,CCCCCCCCCCCCCCCCCC(=O)OCCCC.CCCCCCCCCCCCCCCC(=O)OCCCC
6852,-6.0077,Clc1cccc(c1)c2cc(Cl)ccc2Cl
5482,0.8504,CO[P](N)(=O)SC
1370,-4.6524349135000005,CCCCCCCCCCCCCCCCN(C)C
5577,-0.0798,CN[S]#CNCO
3302,0.5453241375,[Y+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
9690,-1.29,COC1=CC=C2C=C(C(C)C(=O)OCCCCN3CCN(C)CC3)C=CC2=C1
9824,-4.57,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C
2138,-1.4535787311,CN1C(=CC(=O)N(C)C1=O)N
9524,-1.5,CC(C)CCNCC1=CC=CC(C(=O)C2=CSC(S(N)(=O)=O)=C2)=C1
1390,-4.9224509398,CC(CCCC(C)(C)O)CC=O.[nH]1ccc2ccccc12
3159,0.3329637961,[Na+].CCCCC(CC)CO[S]([O-])(=O)=O
860,-2.8887982833,FC(F)=C(F)C(F)(F)F
6004,-8.1501,Clc1ccc(Cl)c(c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl
2751,-2.350745656,CC1(C)CC(CC(C)(C)N1)NCCCCCCNC2CC(C)(C)NC(C)(C)C2
8840,-2.08,CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl
8599,0.723,NCCNCCNCCNCCN
6552,-4.6498,CC(C)OC(=O)C1(CCCC1)[S](=O)(=O)c2ccc(Cl)cc2
9920,-3.04,FC(Cl)(Cl)CCl
2153,-1.5081956214,Nc1cccc(c1)C(F)(F)F
5624,-3.783,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)[S](N)(=O)=O
4886,-1.6223,CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC
1723,-1.4981682805,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3ccc(c4ccc(Nc5nc(Cl)nc(Nc6ccc(N=Nc7cc8c(cc(cc8[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc7[S]([O-])(=O)=O)c(NC(N)=O)c6)n5)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n2)ccc1N=Nc9cc%10c(cc(cc%10[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc9[S]([O-])(=O)=O
601,-1.4450110492,s1cccc1
8482,-4.11,COC1=CC=C(C=C1)C(=O)NC(CC2=CC=CC=C2)C(O)C(=O)N3CSC(C)(C)C3C(=O)NC(C)(C)C
7389,-2.41,CC(C)OC(=O)C[S](=O)(=O)C1=CC=C(Cl)C=C1
5863,0.8292,COC(C)COC(C)CO
6959,-0.5579,C=Cc1ccncc1
5946,-5.3459,COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C
1648,-7.4056684463,CCCCCCCCCCCCCNCCCCCCCCCCCCC.CCCCCCCCCCCCCNCC(C)CCCCCCCCCC
2533,-4.8795513261000005,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
3729,-1.0157,C[NH+]1CC[C@@]23C4Oc5c(O)ccc(C[C@H]1[C@H]2C=C[C@H]4O)c35.C[NH+]6CC[C@@]78C9Oc%10c(O)ccc(C[C@H]6[C@H]7C=C[C@H]9O)c8%10.[O-][S]([O-])(=O)=O
7143,0.506,COCOC
2350,-1.6153792849000002,NN=C(N)N.OC(O)=O
2169,0.1444215392,[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
3037,-5.4987140306,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S
6117,-0.4401,CSC(=NC)N(C)C
3993,1.0499,CN(C)CCO
26,-3.5129421932,ClCc1ccc(Cl)cc1Cl
446,-6.7763112575,COc1cc(c(O)c(c1)C(C)(C)C)c2cc(OC)cc(c2O)C(C)(C)C
4034,1.0599,C1COCCN1
